epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
121,11860.3,0.7828,0.4932,0.01221,0.85163,0.82405,0.87578,0.6511,1.13792,0.86701,0.02708,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,11964.1,0.7955,0.50011,0.01227,0.85261,0.83284,0.87636,0.65139,1.1502,0.84733,0.02758,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,12067.6,0.80389,0.5165,0.01259,0.87408,0.79392,0.86885,0.64145,1.15074,0.86566,0.02759,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,12171,0.81086,0.50517,0.01262,0.87834,0.79396,0.87576,0.64739,1.1336,0.88085,0.02721,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,12273.9,0.79729,0.49255,0.01233,0.86036,0.83112,0.8865,0.64919,1.12228,0.85081,0.02701,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,12377.6,0.7837,0.48561,0.01212,0.87422,0.81525,0.88237,0.6476,1.137,0.85021,0.02742,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,12480.5,0.78786,0.49704,0.01198,0.86661,0.82991,0.88222,0.64771,1.14079,0.81137,0.0276,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,12584.5,0.79659,0.49655,0.01235,0.88029,0.81943,0.88022,0.64895,1.11347,0.88059,0.02658,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,12687.6,0.78416,0.48969,0.01218,0.88483,0.79982,0.88763,0.65728,1.11627,0.87843,0.02676,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,12791.1,0.76736,0.47416,0.01197,0.85482,0.82883,0.88676,0.65661,1.13409,0.84897,0.02716,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,12894.5,0.76951,0.46669,0.0119,0.84397,0.83578,0.88428,0.64971,1.12811,0.87128,0.02708,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
